Question,Énoncé,A,B,C,D,E,Réponse,Image,Thème
1,"Une professeure de classe de CM2 distribue 4 stylos à chaque garçon et 5 stylos à chaque fille. Sachant que la classe compte 30 enfants et qu'elle a distribué 133 stylos, combien y a-t-il de filles dans la classe ?",11,13,15,17,19,B,,
2,"Deux villes A et B sont distantes de 225 kilomètres. Deux voitures partent simultanément, la première de la ville A et la deuxième de la ville B. Elles se croisent à 150 kilomètres de la ville A. Quelle est la seule proposition qui est vraie ?",La deuxième voiture roule trois fois plus vite que la première,Les deux voitures ont roulé à la même vitesse,"La première voiture roule 1,5 fois plus vite que la deuxième",La première voiture roule deux fois plus vite que la deuxième,"La deuxième voiture roule 1,5 fois moins vite que la première",D,,
3,"Dans une population, 80% des habitants souffrent de diabète, 30 % sont en obésité et 20% souffrent des 2 maladies. Quelle part de la population est en bonne santé ?",5%,10%,15%,20%,25%,B,,
4,Combien de nombres à 3 chiffres existent sans compter ceux qui comportent un chiffre des dizaines impair ?,230,340,450,560,780,C,,
5,"Une fiole est remplie à 20 %. Si je rajoute 40 centilitres, elle est remplie aux 4/5. Combien de litres peut contenir la cuve en entier ?",80 cL,100 cL,120 cL,150 cL,200 cL,E,,
6,"Les organisateurs du tournoi de Roland Garros décident d'augmenter la superficie du court (rectangulaire) Philippe Chatrier. S'ils augmentent la longueur de 20% et la largeur de 10 %, quelle est la variation de surface du court ?","0,22","0,27","0,3","0,32","0,35",D,,
7,"Pour réaliser une tâche, Jean-Michel met 20 heures tandis que Jean-Bernard met 30 heures. Combien de temps mettraient-ils ensemble pour réaliser cette tâche ?",12 heures,15 heures,18 heures,25 heures,50 heures,A,,
8,"Suite aux différents mouvements sociaux, une sandwicherie parisienne voit son chiffre d'affaires baisser de 10 % la première année et d'un sixième la deuxième année. De quel pourcentage le chiffre d'affaires doit il réaugmenter pour retrouver sa valeur d'origine ?",1/10,1/6,1/5,1/4,1/3,E,,
9,"Un cercle est inscrit dans un carré de côté 4, quelle est l'aire de la partie noire ?",16π - 4,4π - 16,4π - 4,16 - 4π,4π - 1,D,,
10,"Arnaud a 31 ans et 4 enfants âgés de 1, 3, 4 et 8 ans. Dans combien de temps, l'âge d'Arnaud sera égal à la somme de l'âge de ses 4 enfants ?",2 ans,3 ans,4 ans,5 ans,6 ans,D,,
11,"Un produit coûte 79,8 € après une réduction de 30% due aux soldes d'été. Quel était le prix initial du produit ?","95,76€","103,74€",114€,"127,31€",135€,C,,
12,"En lançant 3 fois un de non pipé, quelle est la probabilité d'avoir exactement 2 chiffres impairs ?",1/8,2/8,3/8,4/8,5/8,C,,
13,Un barman prépare un cocktail en mélangeant 2 bouteilles. La première bouteille (d'1 Litre) contient 40% d'alcool tandis que la deuxième bouteille (de 2 Litres) contient 10 % d'alcool. Quelle est la concentration en alcool du mélange des 2 bouteilles ?,10 %,20 %,30 %,40 %,50 %,B,,
14,De combien de dalles carrées de 25 cm de côté a-t-on besoin pour recouvrir entièrement une pelouse carrée de 25 m2 ?,400,600,800,1200,1600,,,
15,"Pour subvenir aux besoins d’une excursion, un groupe de randonneur a prévu 15 jours de vivres. Sur leur route, ils croisent 6 randonneurs qui sont à court de vivres. Après leur avoir donné une quantité de vivre proportionnelle à leur nombre, il ne reste plus que 10 jours de vivres au groupe. De combien de personnes est composé le premier groupe de randonneurs ?",6,8,12,18,30,,,
16,2 produits valent ensemble 171 €. Un des deux vaut 10% de moins que l’autre. Quel est le prix du produit le moins cher ?,81,90,99,108,117,,,
17,Soit un triangle équilatéral ABC. [BI] et [CJ] sont les hauteurs respectives de [CA] et [AB]. O est le point d’intersections des hauteurs. Quel est le pourcentage de l’aire ABOI par rapport au triangle ABC ?,1/6,1/5,1/4,1/3,1/2,,,
20,"Les collègues de Patrick se cotisent pour son pot de départ. Combien de personnes participent à la cagnotte sachant que si chacun donne 17 euros il manque 9 euros pour payer le cadeau mais si chacun donne 18 euros, il y aura 4 euros de trop ?",11,12,13,14,15,C,,
21,"Dans la vitrine d’un boucher, 6 volailles ont un prix moyen de 30 €. À la fin de la journée, seulement une des volailles a été vendue, faisant tomber le prix moyen des volailles restantes à 28 €. Quel est le prix de la volaille vendue ?",30€,35€,40€,45€,50€,C,,
22,"On considère le rectangle et les trois cercles ci-dessous, disposés comme sur la figure. Le périmètre du rectangle est égal à 24 cm. Que vaut l’aire d’un cercle ?","1,5 π","1,75 π",2 π,"2,25 π","2,5 π",D,,
23,"Pendant les soldes, j’ai payé 630 euros un produit qui avait été soldé une première fois à -10% et une deuxième fois à -30%. Quel était le prix initial du produit ?","900,90€",981€,1 000 €,1 001€,1 100€,C,,
24,Combien de possibilités y a-t-il pour 5 personnes de s’asseoir dans une voiture de 5 places sachant que seulement 4 personnes ont le permis ?,48,96,120,240,360,B,,
25,Deux cyclistes partent en même temps de deux points opposés d’une piste circulaire de 800 mètres. Le cycliste le plus rapide rattrape l’autre coureur en 1/6 d’heure. Quel est leur écart de vitesses ?,1 km/h,"1,2 km/h","1,4 km/h","2,4 km/h","2,8 km/h",D,,
26,"Sachant qu’on dispose de 3 couleurs (blanc, noir et gris) combien de coloriages différents de la figure ci-dessous peut-on réaliser sans que 2 rectangles qui se touchent ne soient de la même couleur ? (Note: la figure n'était pas présente dans le texte extrait)",4,6,8,10,12,B,,
27,"Soit un rectangle de largeur a et de longueur b. Si on diminue a de 1 cm et b de 2 cm, l’aire du rectangle diminue de 24 cm². En revanche, si on augmente a de 1 cm et b de 3 cm, l’aire du rectangle augmente de 36 cm². Quelle est la surface de ce rectangle ?",56 cm²,70 cm²,72 cm²,84 cm²,91 cm²,D,,
28,"Soit un triangle ABC, rectangle en A. On construit extérieurement à ce triangle, les demi-cercles C1 d’aire S1 et de diamètre [BC], C2 d’aire S2 et de diamètre [CA] et C3 d’aire S3 et de diamètre [AB]. Quelle est l’expression de S1 en fonction de S2 et de S3 ?",2S₂ + S₃,S₂ + 2S₃,S₂ + S₃,S₂ – S₃,2 S₂,C,,
29,"30 dossiers de justice sont empilés les uns sur les autres sur le bureau et forment une colonne de 7,1 mètres de hauteur. On distingue deux sortes de dossiers : les dossiers verts de 30 centimètres d’épaisseur et les dossiers rouges de 20 centimètres d’épaisseur. Quel est le nombre de dossiers rouges ?",15,16,17,18,19,E,,
